,e1,rel,e2
0,abigail_may_alcott_nieriker,sibling,louisa_may_alcott
1,adela_of_normandy,sibling,henry_i_of_england
2,adela_of_normandy,sibling,robert_iii_duke_of_normandy
3,adela_of_normandy,sibling,william_ii_of_england
4,adelaide_rixa_of_poland,sibling,casimir_i_of_poland
5,adelaide_rixa_of_poland,sibling,gertrude_of_poland
6,adele_of_champagne,sibling,henry_i_of_champagne
7,adele_of_france,sibling,robert_ii_of_france
8,adelheid_i_abbess_of_quedlinburg,sibling,matilda_daughter_of_otto_ii
9,adelheid_i_abbess_of_quedlinburg,sibling,otto_iii_holy_roman_emperor
10,adelheid_ii_abbess_of_quedlinburg,sibling,henry_iv_holy_roman_emperor
11,adolf_hitler,sibling,paula_hitler
12,adolf_von_harnack,sibling,carl_gustav_axel_harnack
13,adolphus_cambridge_1st_marquess_of_cambridge,sibling,prince_francis_of_teck
14,adolphus_cambridge_1st_marquess_of_cambridge,sibling,mary_of_teck
15,afonso_ii_of_portugal,sibling,berengaria_of_portugal
16,afonso_ii_of_portugal,sibling,teresa_of_portugal
17,afonso_iii_of_portugal,sibling,sancho_ii_of_portugal
18,afonso_prince_imperial_of_brazil,sibling,isabel_princess_imperial_of_brazil
19,afonso_prince_imperial_of_brazil,sibling,princess_leopoldina_of_brazil
20,afonso_vi_of_portugal,sibling,peter_ii_of_portugal
21,afonso_vi_of_portugal,sibling,teodosio_prince_of_brazil
22,afonso_vi_of_portugal,sibling,catherine_of_braganza
23,afonso_vi_of_portugal,sibling,joana_princess_of_beira
24,agnes_of_bohemia,sibling,venceslas_i_of_bohemia
25,agnes_of_france_duchess_of_burgundy,sibling,isabelle_of_france_queen_of_navarre
26,agnes_of_france_duchess_of_burgundy,sibling,philip_iii_of_france
27,agnes_of_france_duchess_of_burgundy,sibling,robert_count_of_clermont
28,ahmed_i,sibling,mustafa_i
29,ahmed_iii,sibling,mustafa_ii
30,albert_einstein,sibling,maria_winteler_einstein
31,albert_i_of_belgium,sibling,princess_josephine_caroline_of_belgium
32,albert_i_of_belgium,sibling,prince_baudouin_of_belgium
33,albert_i_of_belgium,sibling,princess_henriette_duchess_of_vendome_and_alencon
34,albert_ii_duke_of_austria,sibling,frederick_i_of_austria
35,albert_ii_duke_of_austria,sibling,leopold_i_duke_of_austria
36,albert_payson_terhune,sibling,christine_terhune_herrick
37,albert_vii_archduke_of_austria,sibling,elisabeth_of_austria_1554
38,albert_vii_archduke_of_austria,sibling,rudolf_ii_holy_roman_emperor
39,albert_vii_archduke_of_austria,sibling,maximilian_iii_archduke_of_austria
40,albert_vii_archduke_of_austria,sibling,archduke_ernest_of_austria
41,alexander_helios,sibling,cleopatra_selene
42,alexander_i_of_greece,sibling,elena_of_greece_and_denmark
43,alexander_i_of_greece,sibling,george_ii_of_greece
44,alexander_i_of_greece,sibling,irene_of_greece_duchess_of_aosta
45,alexander_i_of_greece,sibling,paul_of_greece
46,alexander_i_of_greece,sibling,princess_katherine_of_greece_and_denmark
47,alexander_i_of_russia,sibling,elena_pavlovna_of_russia
48,alexander_i_of_russia,sibling,alexandra_pavlovna_of_russia
49,alexander_i_of_russia,sibling,maria_pavlovna_of_russia
50,alexander_i_of_russia,sibling,grand_duke_constantine_pavlovich_of_russia
51,alexander_i_of_russia,sibling,catherine_pavlovna_of_russia
52,alexander_i_of_russia,sibling,nicholas_i_of_russia
